Indicador,Solucion
D,[0.03509625 0.70864603 0.68726013]
D,[0.01701266 0.54644035 0.83184175]
D,[0.78704746 0.34741976 0.39550651]
D,[0.7188219  0.03148021 0.69376866]
D,[0.53160614 0.51662771 0.53191412]
D,[0.39028247 0.30435631 0.83072462]
D,[0.68000162 0.26138095 0.63941667]
D,[0.42963688 0.06883431 0.89780376]
D,[0.39151802 0.71987915 0.33622923]
D,[0.24124277 0.87106672 0.        ]
D,[0.2599946  0.56492954 0.70451317]
D,[8.98987223e-01 3.17825073e-01 2.43580344e-10]
D,[0.80021553 0.44637981 0.0297128 ]
D,[0.00141539 0.89219655 0.45024605]
D,[0.17524028 0.7745284  0.49815345]
D,[0.24530074 0.84720449 0.20535802]
D,[0.65668391 0.57047149 0.16342159]
D,[0.91501559 0.24846853 0.20798314]
D,[6.83657167e-04 3.33792098e-01 9.42525545e-01]
D,[0.12586727 0.1805079  0.96717852]
D,[2.39829062e-20 9.71989204e-01 2.35025505e-01]
D,[9.75029106e-01 6.48422281e-04 2.22075216e-01]
D,[0.24396849 0.00219221 0.9697782 ]
D,[0.90696913 0.02091514 0.42015753]
D,[0.50355946 0.70354795 0.04418963]
D,[1.00000000e+00 2.45925962e-13 2.46740040e-10]
D,[2.46740459e-20 1.00000000e+00 3.87352563e-20]
D,[3.16738154e-11 1.41319011e-10 1.00000000e+00]
