Indicador,Solucion
D,[0.         0.84193641 0.98590153]
D,[0.8186371  0.00383958 0.7192648 ]
D,[0.79423324 0.25043795 0.64145392]
D,[0.52076854 0.64436938 0.50474132]
D,[0.89788524 0.         0.53180162]
D,[0.89788524 0.         0.53180162]
D,[0.91203012 0.28927094 0.21582758]
D,[0.40400145 0.78993565 0.12975927]
D,[0.28310236 0.68974455 0.56194596]
D,[0.51067654 0.70345414 0.04794121]
D,[0.15134699 0.45259667 0.88687966]
D,[0.38048425 0.74272676 0.30988692]
D,[0.86361962 0.37696569 0.02453539]
D,[0.02603389 0.62641397 0.78859346]
D,[0.10056202 0.26897507 0.97047784]
D,[1.         0.01950053 0.12551715]
D,[0.11657462 0.89225917 0.3130446 ]
D,[0.08773715 0.83047054 0.49352968]
D,[0.18782764 0.53254323 0.78492177]
D,[0.27098203 0.12172597 0.96303862]
D,[0.55813627 0.6342068  0.23918304]
D,[0.10136447 0.93563248 0.159765  ]
D,[2.92331143e-04 1.00000000e+00 0.00000000e+00]
D,[0.11121713 0.00251872 1.        ]
D,[0.06050267 0.16038588 0.98723813]
D,[0.87787356 0.17308565 0.41550013]
D,[0.82020649 0.36607282 0.2805994 ]
D,[0.08454467 0.76186235 0.59285866]
HV,[0.22685374 0.62076725 0.66765397]
R2,[0.95019543 0.19639001 0.14666574]
IGD,[0.48213869 0.60625747 0.44906808]
e,[1.57079747e-10 0.00000000e+00 1.00000000e+00]
