Indicador,Solucion
HV,[0.88385018 0.1981147  0.37696908]
HV,[0.65642581 0.16762453 0.71731127]
HV,[0.49995974 0.51078318 0.57428816]
HV,[0.00397507 0.38591439 0.9216985 ]
HV,[0.70575185 0.44969463 0.38119775]
HV,[0.21445414 0.64897679 0.64402731]
HV,[0.00224003 0.81723098 0.57471766]
HV,[0.9434285  0.23472916 0.05283346]
HV,[0.43080281 0.30014355 0.81114961]
HV,[9.90368387e-01 2.59672165e-04 1.38456937e-01]
HV,[2.43671580e-04 5.91375443e-01 8.06306985e-01]
HV,[0.52218635 0.63466675 0.32015012]
HV,[0.51733559 0.69466991 0.01150482]
HV,[0.3362106  0.81473158 0.00149277]
HV,[0.26023419 0.4184663  0.82278972]
HV,[0.72096049 0.52781708 0.02648757]
HV,[1.45153016e-20 1.00000000e+00 0.00000000e+00]
HV,[1.49860040e-01 9.22030347e-01 1.16918232e-19]
HV,[0.26208808 0.79541302 0.34884746]
HV,[0.58995075 0.00582598 0.80739719]
HV,[1.92542756e-04 1.74949655e-01 9.84560265e-01]
HV,[9.37598701e-01 1.55275499e-12 3.47719248e-01]
HV,[0.01414931 0.9522156  0.28233275]
HV,[1.57079744e-10 6.27045689e-22 1.00000000e+00]
HV,[8.01774784e-01 2.03756522e-12 5.97626302e-01]
HV,[3.85251990e-01 3.03296887e-04 9.22811313e-01]
HV,[1.00000000e+00 2.54131866e-12 6.93361910e-11]
HV,[0.21410382 0.00220211 0.97680595]
