Indicador,Solucion
HV,[0.95061303 0.2340179  0.05283346]
HV,[7.48228891e-01 5.01190650e-04 6.63611258e-01]
HV,[0.41367403 0.         0.9104628 ]
HV,[0. 1. 0.]
HV,[4.41407901e-11 1.61785371e-12 1.00000000e+00]
HV,[2.43671580e-04 5.91375443e-01 8.06306985e-01]
HV,[0.68193011 0.43547925 0.44797369]
HV,[0.00674126 0.35411755 0.93391152]
HV,[6.39048922e-01 6.00792000e-01 2.73285644e-04]
HV,[0.22685374 0.62076725 0.66765397]
HV,[0.02096265 0.85512874 0.50060765]
HV,[0.8879852  0.01992391 0.45900824]
HV,[0.22685374 0.62076725 0.66765397]
HV,[0.51733559 0.69466991 0.01150482]
HV,[0.22685374 0.62076725 0.66765397]
HV,[0.44521112 0.60048625 0.50516133]
HV,[0.72096049 0.52781708 0.02648757]
HV,[7.44324580e-20 7.54157701e-01 6.56693354e-01]
HV,[1.00000000e+00 2.54131866e-12 2.05670697e-11]
HV,[1.49860040e-01 9.22030347e-01 1.16918232e-19]
HV,[0.57570273 0.4190063  0.6050253 ]
HV,[6.08328414e-01 7.08425914e-04 7.93684784e-01]
HV,[3.44419470e-01 8.09679276e-01 6.93361910e-11]
HV,[0.29162271 0.76677027 0.37673159]
HV,[0.18492398 0.43490539 0.84352648]
HV,[0.38692102 0.37815256 0.78599983]
HV,[0.38692102 0.37815256 0.78599983]
HV,[0.82304859 0.         0.56797097]
R2,[0.2297002  0.30755512 0.89644757]
IGD,[0. 0. 1.]
e,[0.02073045 0.73386424 0.66784246]
D,[0.82020649 0.36607282 0.2805994 ]
