Indicador,Solucion
IGD,[4.85848255e-05 9.36619087e-01 3.50284426e-01]
IGD,[0.60921772 0.39863409 0.59150452]
IGD,[0.74399285 0.50524217 0.03427195]
IGD,[0.00377288 0.83162564 0.552498  ]
IGD,[0.90849001 0.30223457 0.01734858]
IGD,[0.21985952 0.01338946 0.97534809]
IGD,[8.79122858e-05 5.98679453e-01 8.00955852e-01]
IGD,[0.92312209 0.07155618 0.3709925 ]
IGD,[0.00900367 0.98400482 0.15111005]
IGD,[0.37410366 0.54527159 0.64579039]
IGD,[0.65664911 0.53390067 0.29628498]
IGD,[0.17786442 0.90665135 0.0114243 ]
IGD,[0.72670021 0.         0.68695473]
IGD,[0.00655194 0.99670946 0.0042857 ]
IGD,[4.21919238e-01 4.65810766e-06 9.06633419e-01]
IGD,[0.82568213 0.32452087 0.34673923]
IGD,[0.81407661 0.22043949 0.49316564]
IGD,[0.45484878 0.66782891 0.36009609]
IGD,[1. 0. 0.]
IGD,[0.52023528 0.68895964 0.08304384]
IGD,[0.00326055 0.40180195 0.91500807]
IGD,[3.49576953e-01 8.06488093e-01 4.77838501e-05]
IGD,[0.03774561 0.23645808 0.96665484]
IGD,[0.16524031 0.63872329 0.68699217]
IGD,[0.23768208 0.80406906 0.36336984]
IGD,[0.24116912 0.30325419 0.8945671 ]
IGD,[0.41682944 0.2493808  0.84585145]
IGD,[1.57032795e-10 2.71564503e-12 1.00000000e+00]
