Indicador,Solucion
IGD,[4.34279851e-05 5.97269047e-01 8.00273431e-01]
IGD,[0.00805519 1.         0.        ]
IGD,[0. 0. 1.]
IGD,[0.82701949 0.32452087 0.34673923]
IGD,[0.81539516 0.22043949 0.49316564]
IGD,[0.79313439 0.00156487 0.60904265]
IGD,[0.29648788 0.47475812 0.76366853]
IGD,[0.29648788 0.47475812 0.76366853]
IGD,[3.48231038e-01 8.07322093e-01 2.73244017e-06]
IGD,[1.00000000e+00 4.03312055e-11 0.00000000e+00]
IGD,[0.73614995 0.5097881  0.07925936]
IGD,[0.48213869 0.60625747 0.44906808]
IGD,[0.48213869 0.60625747 0.44906808]
IGD,[0.52023528 0.68895964 0.08304384]
IGD,[0.48213869 0.60625747 0.44906808]
IGD,[0.66948    0.34753289 0.57626261]
IGD,[0.14739534 0.92336083 0.00319323]
IGD,[0.07587613 0.81526843 0.52012734]
IGD,[0.14739534 0.92336083 0.00319323]
IGD,[0.48213869 0.60625747 0.44906808]
IGD,[0.25789902 0.62504743 0.64145613]
IGD,[0.07587613 0.81526843 0.52012734]
IGD,[0.41682944 0.2493808  0.84585145]
IGD,[0.07587613 0.81526843 0.52012734]
IGD,[0.01241688 0.72042963 0.68699217]
IGD,[0.07587613 0.81526843 0.52012734]
IGD,[0.07448624 0.87182874 0.41490008]
IGD,[0.12959976 0.47830655 0.83682142]
HV,[0.41367403 0.         0.9104628 ]
R2,[7.58830619e-04 7.04737391e-05 9.99999707e-01]
e,[0.42211371 0.65584364 0.4358401 ]
D,[0.87787356 0.17308565 0.41550013]
