Indicador,Solucion
R2,[0.30832495 0.48620793 0.74753232]
R2,[0.33076275 0.00224238 0.94370861]
R2,[0.41234719 0.68130803 0.39659445]
R2,[0.16333559 0.09517492 0.97832429]
R2,[2.15583057e-04 2.97899161e-01 9.54563693e-01]
R2,[0.87007709 0.36044262 0.00267185]
R2,[2.66848535e-05 5.04549849e-01 8.63374766e-01]
R2,[0.58703908 0.         0.8095586 ]
R2,[4.55588429e-07 9.61443832e-01 2.75000583e-01]
R2,[4.55160694e-01 7.38132309e-01 2.04868058e-20]
R2,[0.003709   0.6635073  0.74651874]
R2,[0.68493236 0.56067128 0.03298633]
R2,[0.79489922 0.00355119 0.6067207 ]
R2,[0.59068487 0.48689334 0.50210082]
R2,[0.24100751 0.68787519 0.57400149]
R2,[0.96940971 0.         0.24544817]
R2,[0.41756529 0.24065262 0.84962991]
R2,[0.21706025 0.88483534 0.00262983]
R2,[2.46740459e-20 1.00000000e+00 3.87579007e-20]
R2,[8.81899381e-01 5.17102486e-04 4.71437109e-01]
R2,[0.69939096 0.4727413  0.34739561]
R2,[0.23216643 0.8575309  0.19179255]
R2,[1. 0. 0.]
R2,[0.95019543 0.19639001 0.14666574]
R2,[4.83412237e-12 1.44690012e-10 1.00000000e+00]
R2,[0.83614219 0.25450719 0.42001522]
R2,[0.62616236 0.2668995  0.68928793]
R2,[6.90395740e-06 8.18850805e-01 5.74001486e-01]
