Indicador,Solucion
R2,[0.38921928 0.24018701 0.87730878]
R2,[0.63785257 0.38341343 0.62780457]
R2,[0.49049824 0.82770926 0.        ]
R2,[0.00758777 0.72325204 0.74013992]
R2,[0. 0. 1.]
R2,[0.41192823 0.01047246 0.91109596]
R2,[0.68112329 0.1591712  0.6976034 ]
R2,[2.46740459e-20 1.00000000e+00 3.87579007e-20]
R2,[0.00694978 0.92240428 0.3778037 ]
R2,[0.86366312 0.01762461 0.50345297]
R2,[0.99951278 0.01867241 0.01664339]
R2,[1. 0. 0.]
R2,[0.95019543 0.19639001 0.14666574]
R2,[9.01224093e-02 9.89614305e-04 9.95929713e-01]
R2,[0.83614219 0.25450719 0.42001522]
R2,[9.41917901e-04 9.97886127e-01 5.72966574e-02]
R2,[0.00116532 0.46413343 0.88545955]
R2,[0.62616236 0.2668995  0.68928793]
R2,[0.70772195 0.30166399 0.57400149]
R2,[0.450808   0.11881693 0.87715535]
R2,[1.10254278e-05 9.99993393e-01 1.47956064e-03]
R2,[4.97482529e-06 7.62828655e-04 9.99999707e-01]
R2,[6.90395740e-06 8.18850805e-01 5.74001486e-01]
R2,[7.58830619e-04 7.04737391e-05 9.99999707e-01]
R2,[0.2297002  0.30755512 0.89644757]
R2,[9.99998564e-01 1.19824816e-03 7.81443729e-06]
R2,[0.01553662 0.96931972 0.21269262]
R2,[0.05792555 0.00634714 0.99828079]
HV,[0.82304859 0.         0.56797097]
IGD,[0.07587613 0.81526843 0.52012734]
e,[2.86060190e-01 8.44949399e-01 6.13108730e-04]
D,[0.11121713 0.00251872 1.        ]
