Indicador,Solucion
e,[0.97889842 0.03753425 0.19733805]
e,[0.00135597 0.51269701 0.85816412]
e,[0.51365318 0.37965309 0.69893081]
e,[0.01470246 0.90114528 0.41782725]
e,[0.89247806 0.12838877 0.4133319 ]
e,[0.7674433  0.48222167 0.0055465 ]
e,[0.0029911  0.81389112 0.57891479]
e,[0.58742103 0.47055425 0.52934594]
e,[0.37836611 0.76360407 0.21833798]
e,[0.26671602 0.48091564 0.77462458]
e,[0.16811892 0.00338448 0.9857551 ]
e,[5.47641614e-01 6.72575933e-01 2.46740290e-10]
e,[0.00161566 0.24376134 0.96963151]
e,[0.83441862 0.39689436 0.11772079]
e,[7.41325392e-11 0.00000000e+00 1.00000000e+00]
e,[0.21947406 0.27658889 0.9132945 ]
e,[6.77398541e-21 1.00000000e+00 3.87577911e-20]
e,[3.90317164e-04 6.39589371e-01 7.68554304e-01]
e,[0.7705945  0.41543047 0.30641496]
e,[0.21442601 0.866425   0.19778128]
e,[0.48190517 0.61525354 0.43234974]
e,[0.78834831 0.14987154 0.57822307]
e,[0.39732146 0.07203215 0.9120957 ]
e,[0.6602986  0.04627186 0.74815373]
e,[0.00873596 0.97311811 0.21095444]
e,[2.97294302e-01 8.38275240e-01 6.13108730e-04]
e,[0.21084374 0.6825275  0.60524006]
e,[1.0000000e+00 0.0000000e+00 2.4674029e-10]
