Indicador,Solucion
e,[0.         0.52149237 0.85647406]
e,[0.7329408  0.34288735 0.50949322]
e,[0.76730667 0.48222265 0.0055465 ]
e,[1.57079747e-10 0.00000000e+00 1.00000000e+00]
e,[1.0000000e+00 0.0000000e+00 2.4674029e-10]
e,[2.46739762e-20 1.00000000e+00 3.87579007e-20]
e,[0.46556402 0.73105128 0.        ]
e,[0.55191448 0.47632627 0.56301434]
e,[0.34762264 0.44028067 0.76235558]
e,[0.83441862 0.39689436 0.11772079]
e,[0.21442601 0.866425   0.19778128]
e,[3.90317164e-04 6.39589371e-01 7.68554304e-01]
e,[0.33668631 0.75128759 0.34592996]
e,[0.21442601 0.866425   0.19778128]
e,[0.63551416 0.05226983 0.7685543 ]
e,[2.86060190e-01 8.44949399e-01 6.13108730e-04]
e,[0.78834831 0.14987154 0.57822307]
e,[0.87744666 0.29399321 0.25537233]
e,[0.87744666 0.29399321 0.25537233]
e,[0.02073045 0.73386424 0.66784246]
e,[0.28300471 0.56805556 0.68672557]
e,[0.0634664  0.34434304 0.92599518]
e,[0.42211371 0.65584364 0.4358401 ]
e,[0.53540663 0.01652666 0.84427113]
e,[6.57529088e-01 5.85210077e-01 3.39223196e-04]
e,[0.04108189 0.92621566 0.32127972]
e,[0.34762264 0.44028067 0.76235558]
e,[0.26415874 0.14249297 0.94524178]
HV,[0.41367403 0.         0.9104628 ]
R2,[0.83614219 0.25450719 0.42001522]
IGD,[0.48213869 0.60625747 0.44906808]
D,[0.02603389 0.62641397 0.78859346]
